stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,snapshot_date
300204,舒泰神,21.3200000000,21.0000000000,417290303.7400000095,198112.0000000000,0.0152000000,4.1729030374,东方财富沪深京A股延迟行情直连,2026-08-25
688027,国盾量子,373.5900000000,369.1000000000,416436788.0000000000,11239.0000000000,0.0122000000,4.1643678800,东方财富沪深京A股延迟行情直连,2026-08-25
001248,华润新能,12.1200000000,12.0300000000,416228670.9900000095,346128.0000000000,0.0075000000,4.1622867099,东方财富沪深京A股延迟行情直连,2026-08-25
003021,兆威机电,72.7800000000,66.1600000000,416117023.8000000119,59806.0000000000,0.1001000000,4.1611702380,东方财富沪深京A股延迟行情直连,2026-08-25
600829,人民同泰,10.1400000000,9.2200000000,416052674.0000000000,425537.0000000000,0.0998000000,4.1605267400,东方财富沪深京A股延迟行情直连,2026-08-25
603601,再升科技,9.0000000000,8.7200000000,415487158.0000000000,469409.0000000000,0.0321000000,4.1548715800,东方财富沪深京A股延迟行情直连,2026-08-25
301269,华大九天,92.4000000000,91.2500000000,415051373.5400000215,45570.0000000000,0.0126000000,4.1505137354,东方财富沪深京A股延迟行情直连,2026-08-25
688535,华海诚科,98.2000000000,99.5400000000,414819928.0000000000,42880.0000000000,-0.0135000000,4.1481992800,东方财富沪深京A股延迟行情直连,2026-08-25
300731,科创新源,42.1800000000,41.8600000000,414805233.0199999809,100188.0000000000,0.0076000000,4.1480523302,东方财富沪深京A股延迟行情直连,2026-08-25
000735,罗 牛 山,5.4900000000,5.3200000000,414588063.3600000143,766662.0000000000,0.0320000000,4.1458806336,东方财富沪深京A股延迟行情直连,2026-08-25
300170,汉得信息,15.1800000000,15.0200000000,414110884.7900000215,275408.0000000000,0.0107000000,4.1411088479,东方财富沪深京A股延迟行情直连,2026-08-25
301150,中一科技,38.6400000000,38.6200000000,412340717.5899999738,108439.0000000000,0.0005000000,4.1234071759,东方财富沪深京A股延迟行情直连,2026-08-25
002177,御银股份,5.9700000000,5.8100000000,411557327.2799999714,692423.0000000000,0.0275000000,4.1155732728,东方财富沪深京A股延迟行情直连,2026-08-25
301362,民爆光电,113.9400000000,115.1200000000,409350614.6600000262,36573.0000000000,-0.0103000000,4.0935061466,东方财富沪深京A股延迟行情直连,2026-08-25
603766,隆鑫通用,14.8600000000,14.5700000000,409335528.0000000000,274865.0000000000,0.0199000000,4.0933552800,东方财富沪深京A股延迟行情直连,2026-08-25
300401,花园生物,14.6800000000,14.1400000000,409335242.6399999857,282964.0000000000,0.0382000000,4.0933524264,东方财富沪深京A股延迟行情直连,2026-08-25
688419,耐科装备,55.8400000000,56.7800000000,408454314.0000000000,74454.0000000000,-0.0166000000,4.0845431400,东方财富沪深京A股延迟行情直连,2026-08-25
600588,用友网络,10.1800000000,10.1300000000,408010503.0000000000,404223.0000000000,0.0049000000,4.0801050300,东方财富沪深京A股延迟行情直连,2026-08-25
600683,京投发展,10.1900000000,9.8500000000,407141152.0000000000,408763.0000000000,0.0345000000,4.0714115200,东方财富沪深京A股延迟行情直连,2026-08-25
600371,万向德农,8.6700000000,7.8800000000,406261427.0000000000,476091.0000000000,0.1003000000,4.0626142700,东方财富沪深京A股延迟行情直连,2026-08-25
002292,奥飞娱乐,8.0800000000,7.7400000000,405558641.2400000095,506308.0000000000,0.0439000000,4.0555864124,东方财富沪深京A股延迟行情直连,2026-08-25
300382,斯莱克,17.6700000000,17.9300000000,404218860.0699999928,231505.0000000000,-0.0145000000,4.0421886007,东方财富沪深京A股延迟行情直连,2026-08-25
600143,金发科技,14.1200000000,13.9700000000,403574833.0000000000,283358.0000000000,0.0107000000,4.0357483300,东方财富沪深京A股延迟行情直连,2026-08-25
002429,兆驰股份,7.9400000000,7.9500000000,403504666.0400000215,513815.0000000000,-0.0013000000,4.0350466604,东方财富沪深京A股延迟行情直连,2026-08-25
