日期,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理,date,amount_100m,market_amount_100m,amount_share_of_a
2026-03-12,1487.1600000000,16390810.0000000000,31039460496.0000000000,-0.0089000000,0.0109000000,东方财富创新药BK1106历史K线直连,0.8611827711,2026-03-12,310.3946049600,24280.1112837900,0.0127839037
2026-03-13,1478.9900000000,17632035.0000000000,32757809365.0000000000,-0.0055000000,0.0117000000,东方财富创新药BK1106历史K线直连,0.9295557045,2026-03-13,327.5780936500,23863.2230089600,0.0137273198
2026-03-16,1487.8200000000,16190430.0000000000,32351441514.0000000000,0.0060000000,0.0108000000,东方财富创新药BK1106历史K线直连,0.8821429118,2026-03-16,323.5144151400,23124.6795113100,0.0139900064
2026-03-17,1477.7800000000,19743075.0000000000,40126873385.0000000000,-0.0067000000,0.0131000000,东方财富创新药BK1106历史K线直连,1.0816775251,2026-03-17,401.2687338500,21942.0649914900,0.0182876468
2026-03-18,1490.2500000000,16442317.0000000000,33286044116.0000000000,0.0084000000,0.0109000000,东方财富创新药BK1106历史K线直连,0.9106235156,2026-03-18,332.8604411600,20331.7537766600,0.0163714574
2026-03-19,1456.2600000000,17290195.0000000000,33166928694.0000000000,-0.0228000000,0.0115000000,东方财富创新药BK1106历史K线直连,0.9534471395,2026-03-19,331.6692869400,20971.3922117400,0.0158153204
2026-03-20,1426.1300000000,17377155.0000000000,33272322844.0000000000,-0.0207000000,0.0115000000,东方财富创新药BK1106历史K线直连,0.9562908564,2026-03-20,332.7232284400,22716.3263861600,0.0146468766
2026-03-23,1346.9700000000,25935962.0000000000,44938791384.0000000000,-0.0555000000,0.0172000000,东方财富创新药BK1106历史K线直连,1.3836593275,2026-03-23,449.3879138400,24149.5062237900,0.0186085757
2026-03-24,1399.5000000000,21272663.0000000000,41129155401.0000000000,0.0390000000,0.0141000000,东方财富创新药BK1106历史K线直连,1.1177163744,2026-03-24,411.2915540100,20679.2392575300,0.0198891047
2026-03-25,1416.9900000000,18095390.0000000000,34805795164.0000000000,0.0125000000,0.0120000000,东方财富创新药BK1106历史K线直连,0.9517895229,2026-03-25,348.0579516400,21628.2560497700,0.0160927423
2026-03-26,1406.7000000000,17508143.0000000000,35630170888.0000000000,-0.0073000000,0.0116000000,东方财富创新药BK1106历史K线直连,0.9255554716,2026-03-26,356.3017088800,19306.3712748200,0.0184551361
2026-03-27,1471.8600000000,27299223.0000000000,58015227530.0000000000,0.0463000000,0.0181000000,东方财富创新药BK1106历史K线直连,1.4004599421,2026-03-27,580.1522753000,18400.9027574700,0.0315284681
2026-03-30,1489.2800000000,29237665.0000000000,60087888417.0000000000,0.0118000000,0.0194000000,东方财富创新药BK1106历史K线直连,1.4803173758,2026-03-30,600.8788841700,19038.6734972200,0.0315609638
2026-03-31,1483.5100000000,27906035.0000000000,58822417761.0000000000,-0.0039000000,0.0185000000,东方财富创新药BK1106历史K线直连,1.3969026249,2026-03-31,588.2241776100,19741.5391694700,0.0297962673
2026-04-01,1561.2000000000,39950695.0000000000,89654096090.0000000000,0.0524000000,0.0265000000,东方财富创新药BK1106历史K线直连,1.8982679727,2026-04-01,896.5409609000,19970.1766830600,0.0448939924
2026-04-02,1579.4900000000,51107829.0000000000,92823521016.0000000000,0.0117000000,0.0339000000,东方财富创新药BK1106历史K线直连,2.2417673120,2026-04-02,928.2352101600,18300.4394615600,0.0507220175
2026-04-03,1539.9900000000,43954039.0000000000,74876318013.0000000000,-0.0250000000,0.0292000000,东方财富创新药BK1106历史K线直连,1.8348635691,2026-04-03,748.7631801300,16442.1047086000,0.0455393755
2026-04-07,1543.5700000000,39734431.0000000000,65919659752.0000000000,0.0023000000,0.0264000000,东方财富创新药BK1106历史K线直连,1.5955890757,2026-04-07,659.1965975200,16046.0214682200,0.0410816226
2026-04-08,1560.7600000000,41045704.0000000000,74679969094.0000000000,0.0111000000,0.0273000000,东方财富创新药BK1106历史K线直连,1.5765784738,2026-04-08,746.7996909400,24188.7404665700,0.0308738560
2026-04-09,1531.5700000000,38613345.0000000000,66634138030.0000000000,-0.0187000000,0.0256000000,东方财富创新药BK1106历史K线直连,1.4229376820,2026-04-09,666.3413803000,21213.3297424300,0.0314114469
2026-04-10,1536.4400000000,36886534.0000000000,61665889606.0000000000,0.0032000000,0.0245000000,东方财富创新药BK1106历史K线直连,1.3098379449,2026-04-10,616.6588960600,23055.1713283700,0.0267470967
2026-04-13,1523.2100000000,29190615.0000000000,55455580060.0000000000,-0.0086000000,0.0194000000,东方财富创新药BK1106历史K线直连,1.0157118068,2026-04-13,554.5558006000,21356.9160025500,0.0259660993
2026-04-14,1537.3300000000,29107941.0000000000,54892324720.0000000000,0.0093000000,0.0193000000,东方财富创新药BK1106历史K线直连,0.9905731737,2026-04-14,548.9232472000,23672.1482430600,0.0231885692
2026-04-15,1574.7500000000,50787455.0000000000,87539089180.0000000000,0.0243000000,0.0337000000,东方财富创新药BK1106历史K线直连,1.6416323876,2026-04-15,875.3908918000,24008.2229098300,0.0364621278
2026-04-16,1571.3700000000,41075193.0000000000,68650478999.0000000000,-0.0021000000,0.0273000000,东方财富创新药BK1106历史K线直连,1.2768639012,2026-04-16,686.5047899900,23191.5994568700,0.0296014422
2026-04-17,1546.8300000000,33373020.0000000000,64254769488.0000000000,-0.0156000000,0.0222000000,东方财富创新药BK1106历史K线直连,1.0121332222,2026-04-17,642.5476948800,24084.2309842100,0.0266791867
2026-04-20,1541.3400000000,29404065.0000000000,55791671234.0000000000,-0.0035000000,0.0195000000,东方财富创新药BK1106历史K线直连,0.8757909270,2026-04-20,557.9167123400,25645.9189742800,0.0217546001
2026-04-21,1524.1300000000,26882500.0000000000,47815410148.0000000000,-0.0112000000,0.0179000000,东方财富创新药BK1106历史K线直连,0.7995598250,2026-04-21,478.1541014800,23764.1044726300,0.0201208550
2026-04-22,1536.0000000000,25548597.0000000000,47167437052.0000000000,0.0078000000,0.0170000000,东方财富创新药BK1106历史K线直连,0.7550843549,2026-04-22,471.6743705200,25420.9450367800,0.0185545569
2026-04-23,1510.9700000000,28040097.0000000000,56596165749.0000000000,-0.0163000000,0.0186000000,东方财富创新药BK1106历史K线直连,0.8167179596,2026-04-23,565.9616574900,27863.8752774900,0.0203116635
2026-04-24,1501.7100000000,25720292.0000000000,49150018548.0000000000,-0.0061000000,0.0171000000,东方财富创新药BK1106历史K线直连,0.7402957933,2026-04-24,491.5001854800,26133.2674389100,0.0188074525
