instrument_id,code,exchange,name,industry,price,change,change_5d,change_20d,ytd,amount_yi,mcap_yi,turnover,pe_ttm,pb,data_status
legacy:亚钾国际,000893,SZ,亚钾国际,农化制品,48.28,-0.000200,0.009600,-0.076864,0.008755,6.66,446.13,0.017000,20.94,3.23,ok
legacy:药明生物,02269,HK,药明生物,医疗服务[HK],50.50,-0.004900,0.017300,0.335979,0.606234,25.17,2093.22,0.012200,36.86,3.78,ok
legacy:先导智能,300450,SZ,先导智能,电池,33.77,0.005100,0.013200,0.011684,-0.320455,8.94,565.38,0.017100,34.87,3.25,ok
legacy:宝丰能源,600989,SH,宝丰能源,化学原料,24.00,0.038500,0.025600,0.005025,0.249349,17.36,1760.01,0.010000,9.05,3.37,ok
legacy:中芯国际,00981,HK,中芯国际,半导体[HK],71.30,0.023000,-0.011100,0.150000,-0.002099,32.74,6104.04,0.007600,75.16,3.10,ok
legacy:东方财富,300059,SZ,东方财富,证券,19.62,0.013400,0.043600,-0.018509,-0.149913,62.99,3104.32,0.024200,19.25,3.15,ok
legacy:腾讯控股,00700,HK,腾讯控股,互动媒体与服务Ⅲ[HK],447.80,0.005400,-0.008000,-0.050869,-0.252421,51.54,40763.89,0.001300,15.27,3.11,ok
legacy:天通股份,600330,SH,天通股份,电子化学品,29.15,0.100000,0.045200,0.778523,1.220107,37.03,359.55,0.106200,-63.67,4.79,ok
legacy:拓普集团,601689,SH,拓普集团,汽车零部件,47.43,0.017800,0.026600,0.075510,-0.381536,8.30,824.26,0.010200,37.34,3.47,ok
legacy:乖宝宠物,301498,SZ,乖宝宠物,农产品加工,38.64,0.008900,-0.016800,-0.116800,-0.404622,1.61,154.74,0.022100,40.58,3.31,ok
legacy:立讯精密,002475,SZ,立讯精密,消费电子,57.18,0.001200,0.072000,-0.020051,0.013632,63.33,4424.49,0.015200,28.21,4.75,ok
legacy:九号公司-WD,689009,SH,九号公司-WD,汽车服务及其他,43.95,0.018500,0.002100,0.027421,-0.191605,3.99,323.41,0.016300,16.04,4.40,ok
legacy:安克创新,300866,SZ,安克创新,消费电子,126.20,0.010500,0.091900,0.017742,0.119886,3.48,742.12,0.009000,39.34,7.19,ok
legacy:天赐材料,002709,SZ,天赐材料,电池,37.27,0.013300,0.005100,0.044563,-0.189465,17.52,759.77,0.031600,13.28,3.78,ok
legacy:西部矿业,601168,SH,西部矿业,工业金属,38.67,-0.015000,0.054800,0.055116,0.404139,20.67,921.51,0.022300,11.05,4.11,ok
legacy:亨通光电,600487,SH,亨通光电,通信设备,71.30,0.099800,0.149600,0.510593,1.915202,191.24,1758.54,0.112300,28.19,5.22,ok
legacy:宇通客车,600066,SH,宇通客车,汽车整车,29.91,-0.016100,-0.004700,-0.115089,-0.025733,3.08,662.19,0.004600,17.73,5.10,ok
legacy:阳光电源,300274,SZ,阳光电源,光伏设备,98.84,-0.122400,-0.108700,-0.046958,-0.419800,141.33,2049.16,0.089200,22.36,4.34,ok
legacy:东鹏饮料,605499,SH,东鹏饮料,饮料制造,120.38,-0.007600,-0.021900,-0.128944,-0.409213,6.11,883.83,0.007500,15.41,4.54,ok
legacy:大族激光,002008,SZ,大族激光,自动化设备,90.00,0.050400,-0.017000,0.098901,1.195657,32.05,926.64,0.037700,35.97,4.32,ok
legacy:紫金矿业,601899,SH,紫金矿业,贵金属,34.57,0.002900,0.021900,0.070942,0.026730,79.87,9192.41,0.011200,11.73,4.75,ok
legacy:长电科技,600584,SH,长电科技,半导体,76.54,0.039700,-0.037000,0.186483,1.086696,73.78,1369.62,0.054500,81.08,4.73,ok
legacy:宁德时代,300750,SZ,宁德时代,电池,373.00,-0.015800,-0.031200,-0.068613,0.039136,87.01,17257.42,0.005500,19.94,4.63,ok
legacy:伟测科技,688372,SH,伟测科技,半导体,127.83,0.058300,0.016700,0.272067,0.177722,9.28,216.03,0.043900,76.22,5.24,ok
legacy:洛阳钼业,603993,SH,洛阳钼业,工业金属,19.51,-0.004100,0.067900,0.029008,-0.010348,50.04,4174.03,0.014800,12.92,4.65,ok
legacy:厦门钨业,600549,SH,厦门钨业,小金属,54.80,0.041400,0.028300,0.217778,0.347762,29.80,870.00,0.035500,19.77,4.65,ok
legacy:三花智控,002050,SZ,三花智控,白色家电,36.82,0.018800,0.018800,0.038353,-0.329460,15.42,1549.39,0.011400,37.90,4.95,ok
legacy:中国巨石,600176,SH,中国巨石,建筑材料,42.64,0.079500,0.029500,0.164073,1.521585,98.27,1706.94,0.059500,29.10,5.15,ok
legacy:药明康德,603259,SH,药明康德,医疗服务,159.94,0.004300,-0.047400,0.274625,0.795848,55.33,4772.22,0.014100,21.53,5.73,ok
legacy:扬杰科技,300373,SZ,扬杰科技,半导体,96.93,0.058800,0.006600,0.183083,0.436000,16.53,526.67,0.031900,34.16,5.26,ok
legacy:风华高科,000636,SZ,风华高科,元件,54.11,0.060800,0.019200,0.071485,2.344045,67.39,620.91,0.110900,175.28,5.02,ok
legacy:优必选,09880,HK,优必选,机械设备Ⅲ[HK],82.95,0.015300,0.020900,0.067568,-0.343230,2.47,417.57,0.006900,-53.64,5.23,ok
legacy:巨化股份,600160,SH,巨化股份,化学制品,39.54,0.036400,0.021700,-0.001767,0.044374,14.96,1067.48,0.014200,20.14,4.84,ok
legacy:赤峰黄金,600988,SH,赤峰黄金,贵金属,48.22,0.029200,0.046000,0.297283,0.559508,34.78,916.38,0.043400,23.18,6.70,ok
legacy:爱旭股份,600732,SH,爱旭股份,光伏设备,11.40,-0.000900,-0.030600,-0.077670,-0.149254,2.08,241.13,0.008800,-13.71,5.09,ok
legacy:大中矿业,001203,SZ,大中矿业,钢铁,27.58,0.008400,0.042700,0.061995,-0.094312,4.29,422.82,0.012100,65.65,5.87,ok
legacy:地平线机器人-W,09660,HK,地平线机器人-W,汽车零部件Ⅲ[HK],4.75,0.002100,-0.021600,-0.090996,-0.452079,2.56,753.20,0.003900,-6.50,4.97,ok
legacy:药明合联,02268,HK,药明合联,医疗服务[HK],75.50,-0.022700,0.075500,0.478942,0.242798,61.28,956.18,0.065500,54.18,7.32,ok
