date,direction,stock_code,stock_name,close,return,amount_100m,turnover,industry,source
2026-08-31,limit_up,601136,首创证券,15.8600000000,0.0998612976,6.3991462400,0.0154070306,证券Ⅱ,东方财富涨跌停池直接接口
2026-08-31,limit_up,603358,华达科技,49.7200000000,0.1000000000,6.3584056000,0.0285576868,汽车零部,东方财富涨跌停池直接接口
2026-08-31,limit_up,600121,郑州煤电,4.9100000000,0.1008968544,5.9668692800,0.1046262646,煤炭开采,东方财富涨跌停池直接接口
2026-08-31,limit_up,920021,流金科技,8.8500000000,0.2995594788,5.8755744000,0.2939760971,电视广播,东方财富涨跌停池直接接口
2026-08-31,limit_up,002855,捷荣技术,16.1000000000,0.0997267723,5.6542777600,0.1448838234,消费电子,东方财富涨跌停池直接接口
2026-08-31,limit_up,601929,吉视传媒,2.5700000000,0.0982905960,5.1646195200,0.0601267576,电视广播,东方财富涨跌停池直接接口
2026-08-31,limit_up,002903,宇环数控,31.8500000000,0.1001727104,4.8750715200,0.1473497677,通用设备,东方财富涨跌停池直接接口
2026-08-31,limit_up,000965,天保基建,3.6200000000,0.1003039455,4.8004339200,0.1212324810,房地产开,东方财富涨跌停池直接接口
2026-08-31,limit_up,002757,南兴股份,17.4800000000,0.1000629330,4.7944028800,0.0995880413,专用设备,东方财富涨跌停池直接接口
2026-08-31,limit_up,603978,深圳新星,20.9200000000,0.0998948479,4.5966148800,0.1057820892,金属新材,东方财富涨跌停池直接接口
2026-08-31,limit_up,002303,美盈森,5.6900000000,0.1005802631,4.5904588800,0.0783510733,包装印刷,东方财富涨跌停池直接接口
2026-08-31,limit_up,600691,潞化科技,3.2300000000,0.0986394596,4.3700979200,0.0581371069,农化制品,东方财富涨跌停池直接接口
2026-08-31,limit_up,603559,中通国脉,10.5400000000,0.1002087688,4.3546049600,0.1077379704,通信服务,东方财富涨跌停池直接接口
2026-08-31,limit_up,002328,新朋股份,8.5000000000,0.0996119022,4.2015028800,0.0890122128,汽车零部,东方财富涨跌停池直接接口
2026-08-31,limit_up,003005,竞业达,16.5300000000,0.0998003960,3.9600630400,0.1874561882,IT服务Ⅱ,东方财富涨跌停池直接接口
2026-08-31,limit_up,603058,永吉股份,10.3200000000,0.1002132225,3.8418430400,0.0920747185,包装印刷,东方财富涨跌停池直接接口
2026-08-31,limit_up,603113,金能科技,6.0700000000,0.0996376801,3.8299307200,0.0771460390,化学原料,东方财富涨跌停池直接接口
2026-08-31,limit_up,003036,泰坦股份,59.6100000000,0.1000184536,3.7692454400,0.0301730156,专用设备,东方财富涨跌停池直接接口
2026-08-31,limit_up,301231,荣信文化,31.2800000000,0.1998465729,3.7477475200,0.1948233223,出版,东方财富涨跌停池直接接口
2026-08-31,limit_up,605287,德才股份,41.5800000000,0.1000000000,3.7342676800,0.0658478594,装修装饰,东方财富涨跌停池直接接口
2026-08-31,limit_up,603178,圣龙股份,17.8500000000,0.0998151588,3.5019784000,0.0841380978,汽车零部,东方财富涨跌停池直接接口
2026-08-31,limit_up,600551,时代出版,8.2500000000,0.1000000000,3.4086494400,0.0652468157,出版,东方财富涨跌停池直接接口
2026-08-31,limit_up,002169,智光电气,13.4100000000,0.1000820351,3.0903264000,0.0307503176,电网设备,东方财富涨跌停池直接接口
2026-08-31,limit_up,603297,永新光学,115.8600000000,0.0999715137,3.0832953600,0.0251268721,光学光电,东方财富涨跌停池直接接口
2026-08-31,limit_up,601595,上海电影,18.3300000000,0.1002400970,3.0290473600,0.0381450701,影视院线,东方财富涨跌停池直接接口
2026-08-31,limit_up,001221,悍高集团,41.2700000000,0.0999466896,3.0094926400,0.0955324173,家居用品,东方财富涨跌停池直接接口
2026-08-31,limit_up,603313,梦百合,6.7400000000,0.0995106030,2.9837771200,0.0805498409,家居用品,东方财富涨跌停池直接接口
2026-08-31,limit_up,920223,荣亿精密,15.8300000000,0.2996715927,2.7490441600,0.2317687988,通用设备,东方财富涨跌停池直接接口
2026-08-31,limit_up,603270,金帝股份,30.2500000000,0.1000000000,2.7064580800,0.1281191444,通用设备,东方财富涨跌停池直接接口
2026-08-31,limit_up,600892,大晟文化,4.4200000000,0.0995024872,2.4764895100,0.1051113796,游戏Ⅱ,东方财富涨跌停池直接接口
2026-08-31,limit_up,600671,天目药业,22.8600000000,0.1000962448,2.4037480600,0.0885761452,中药Ⅱ,东方财富涨跌停池直接接口
2026-08-31,limit_up,601086,国芳集团,9.1700000000,0.0995203876,2.3245562600,0.0380645633,一般零售,东方财富涨跌停池直接接口
2026-08-31,limit_up,000892,欢瑞世纪,4.3000000000,0.0997442436,2.2632263600,0.0752436543,影视院线,东方财富涨跌停池直接接口
2026-08-31,limit_up,603139,康惠股份,38.0900000000,0.0999133778,2.2521864500,0.0605345106,中药Ⅱ,东方财富涨跌停池直接接口
2026-08-31,limit_up,601882,海天精工,21.9100000000,0.0998995972,2.2385625700,0.0198348510,通用设备,东方财富涨跌停池直接接口
2026-08-31,limit_up,002921,联诚精密,23.2200000000,0.0999526310,2.2045599500,0.0753196001,汽车零部,东方财富涨跌停池直接接口
2026-08-31,limit_up,002660,茂硕电源,8.3800000000,0.0997375298,2.1542768900,0.0759184694,消费电子,东方财富涨跌停池直接接口
2026-08-31,limit_up,601330,绿色动力,7.8100000000,0.1000000000,2.1485425900,0.0280936456,环境治理,东方财富涨跌停池直接接口
2026-08-31,limit_up,603090,宏盛股份,42.1300000000,0.1000000000,1.9333377400,0.0480889988,通用设备,东方财富涨跌停池直接接口
2026-08-31,limit_up,000560,我爱我家,2.9000000000,0.0984848499,1.8561160000,0.0273207521,房地产服,东方财富涨跌停池直接接口
2026-08-31,limit_up,605118,力鼎光电,32.8200000000,0.0998659515,1.8231897100,0.0142441881,计算机设,东方财富涨跌停池直接接口
2026-08-31,limit_up,600371,万向德农,12.6900000000,0.0996533775,1.7405794400,0.0468803167,种植业,东方财富涨跌停池直接接口
